!	35	13																																	
-85	-80	-75	-70	-65	-60	-55	-50	-45	-40	-35	-30	-25	-20	-15	-10	-5	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	!Transversal Angle
-90	-75	-60	-45	-30	-15	0	15	30	45	60	75	90	!Longitudinal Angle																						
0	! IAM for transv. angle -85, long. angle -90																																		
1.1708	! IAM for transv. angle -85, long. angle -75																																		
2.3417	! IAM for transv. angle -85, long. angle -60																																		
2.7064	! IAM for transv. angle -85, long. angle -45																																		
2.5157	! IAM for transv. angle -85, long. angle -30																																		
2.5806	! IAM for transv. angle -85, long. angle -15																																		
2.7836	! IAM for transv. angle -85, long. angle 0																																		
2.5806	! IAM for transv. angle -85, long. angle 15																																		
2.5157	! IAM for transv. angle -85, long. angle 30																																		
2.7064	! IAM for transv. angle -85, long. angle 45																																		
2.3417	! IAM for transv. angle -85, long. angle 60																																		
1.1708	! IAM for transv. angle -85, long. angle 75																																		
0	! IAM for transv. angle -85, long. angle 90																																		
0	! IAM for transv. angle -80, long. angle -90																																		
0.7159	! IAM for transv. angle -80, long. angle -75																																		
1.4318	! IAM for transv. angle -80, long. angle -60																																		
1.6548	! IAM for transv. angle -80, long. angle -45																																		
1.5382	! IAM for transv. angle -80, long. angle -30																																		
1.5779	! IAM for transv. angle -80, long. angle -15																																		
1.702	! IAM for transv. angle -80, long. angle 0																																		
1.5779	! IAM for transv. angle -80, long. angle 15																																		
1.5382	! IAM for transv. angle -80, long. angle 30																																		
1.6548	! IAM for transv. angle -80, long. angle 45																																		
1.4318	! IAM for transv. angle -80, long. angle 60																																		
0.7159	! IAM for transv. angle -80, long. angle 75																																		
0	! IAM for transv. angle -80, long. angle 90																																		
0	! IAM for transv. angle -75, long. angle -90																																		
0.5719	! IAM for transv. angle -75, long. angle -75																																		
1.1438	! IAM for transv. angle -75, long. angle -60																																		
1.3219	! IAM for transv. angle -75, long. angle -45																																		
1.2288	! IAM for transv. angle -75, long. angle -30																																		
1.2605	! IAM for transv. angle -75, long. angle -15																																		
1.3596	! IAM for transv. angle -75, long. angle 0																																		
1.2605	! IAM for transv. angle -75, long. angle 15																																		
1.2288	! IAM for transv. angle -75, long. angle 30																																		
1.3219	! IAM for transv. angle -75, long. angle 45																																		
1.1438	! IAM for transv. angle -75, long. angle 60																																		
0.5719	! IAM for transv. angle -75, long. angle 75																																		
0	! IAM for transv. angle -75, long. angle 90																																		
0	! IAM for transv. angle -70, long. angle -90																																		
0.5448	! IAM for transv. angle -70, long. angle -75																																		
1.0896	! IAM for transv. angle -70, long. angle -60																																		
1.2593	! IAM for transv. angle -70, long. angle -45																																		
1.1706	! IAM for transv. angle -70, long. angle -30																																		
1.2008	! IAM for transv. angle -70, long. angle -15																																		
1.2953	! IAM for transv. angle -70, long. angle 0																																		
1.2008	! IAM for transv. angle -70, long. angle 15																																		
1.1706	! IAM for transv. angle -70, long. angle 30																																		
1.2593	! IAM for transv. angle -70, long. angle 45																																		
1.0896	! IAM for transv. angle -70, long. angle 60																																		
0.5448	! IAM for transv. angle -70, long. angle 75																																		
0	! IAM for transv. angle -70, long. angle 90																																		
0	! IAM for transv. angle -65, long. angle -90																																		
0.5223	! IAM for transv. angle -65, long. angle -75																																		
1.0447	! IAM for transv. angle -65, long. angle -60																																		
1.2074	! IAM for transv. angle -65, long. angle -45																																		
1.1223	! IAM for transv. angle -65, long. angle -30																																		
1.1512	! IAM for transv. angle -65, long. angle -15																																		
1.2418	! IAM for transv. angle -65, long. angle 0																																		
1.1512	! IAM for transv. angle -65, long. angle 15																																		
1.1223	! IAM for transv. angle -65, long. angle 30																																		
1.2074	! IAM for transv. angle -65, long. angle 45																																		
1.0447	! IAM for transv. angle -65, long. angle 60																																		
0.5223	! IAM for transv. angle -65, long. angle 75																																		
0	! IAM for transv. angle -65, long. angle 90																																		
0	! IAM for transv. angle -60, long. angle -90																																		
0.5003	! IAM for transv. angle -60, long. angle -75																																		
1.0005	! IAM for transv. angle -60, long. angle -60																																		
1.1564	! IAM for transv. angle -60, long. angle -45																																		
1.0749	! IAM for transv. angle -60, long. angle -30																																		
1.1026	! IAM for transv. angle -60, long. angle -15																																		
1.1894	! IAM for transv. angle -60, long. angle 0																																		
1.1026	! IAM for transv. angle -60, long. angle 15																																		
1.0749	! IAM for transv. angle -60, long. angle 30																																		
1.1564	! IAM for transv. angle -60, long. angle 45																																		
1.0005	! IAM for transv. angle -60, long. angle 60																																		
0.5003	! IAM for transv. angle -60, long. angle 75																																		
0	! IAM for transv. angle -60, long. angle 90																																		
0	! IAM for transv. angle -55, long. angle -90																																		
0.4796	! IAM for transv. angle -55, long. angle -75																																		
0.9592	! IAM for transv. angle -55, long. angle -60																																		
1.1086	! IAM for transv. angle -55, long. angle -45																																		
1.0305	! IAM for transv. angle -55, long. angle -30																																		
1.057	! IAM for transv. angle -55, long. angle -15																																		
1.1402	! IAM for transv. angle -55, long. angle 0																																		
1.057	! IAM for transv. angle -55, long. angle 15																																		
1.0305	! IAM for transv. angle -55, long. angle 30																																		
1.1086	! IAM for transv. angle -55, long. angle 45																																		
0.9592	! IAM for transv. angle -55, long. angle 60																																		
0.4796	! IAM for transv. angle -55, long. angle 75																																		
0	! IAM for transv. angle -55, long. angle 90																																		
0	! IAM for transv. angle -50, long. angle -90																																		
0.4611	! IAM for transv. angle -50, long. angle -75																																		
0.9222	! IAM for transv. angle -50, long. angle -60																																		
1.0658	! IAM for transv. angle -50, long. angle -45																																		
0.9907	! IAM for transv. angle -50, long. angle -30																																		
1.0162	! IAM for transv. angle -50, long. angle -15																																		
1.0962	! IAM for transv. angle -50, long. angle 0																																		
1.0162	! IAM for transv. angle -50, long. angle 15																																		
0.9907	! IAM for transv. angle -50, long. angle 30																																		
1.0658	! IAM for transv. angle -50, long. angle 45																																		
0.9222	! IAM for transv. angle -50, long. angle 60																																		
0.4611	! IAM for transv. angle -50, long. angle 75																																		
0	! IAM for transv. angle -50, long. angle 90																																		
0	! IAM for transv. angle -45, long. angle -90																																		
0.4451	! IAM for transv. angle -45, long. angle -75																																		
0.8902	! IAM for transv. angle -45, long. angle -60																																		
1.0288	! IAM for transv. angle -45, long. angle -45																																		
0.9563	! IAM for transv. angle -45, long. angle -30																																		
0.981	! IAM for transv. angle -45, long. angle -15																																		
1.0582	! IAM for transv. angle -45, long. angle 0																																		
0.981	! IAM for transv. angle -45, long. angle 15																																		
0.9563	! IAM for transv. angle -45, long. angle 30																																		
1.0288	! IAM for transv. angle -45, long. angle 45																																		
0.8902	! IAM for transv. angle -45, long. angle 60																																		
0.4451	! IAM for transv. angle -45, long. angle 75																																		
0	! IAM for transv. angle -45, long. angle 90																																		
0	! IAM for transv. angle -40, long. angle -90																																		
0.4317	! IAM for transv. angle -40, long. angle -75																																		
0.8634	! IAM for transv. angle -40, long. angle -60																																		
0.9978	! IAM for transv. angle -40, long. angle -45																																		
0.9275	! IAM for transv. angle -40, long. angle -30																																		
0.9514	! IAM for transv. angle -40, long. angle -15																																		
1.0263	! IAM for transv. angle -40, long. angle 0																																		
0.9514	! IAM for transv. angle -40, long. angle 15																																		
0.9275	! IAM for transv. angle -40, long. angle 30																																		
0.9978	! IAM for transv. angle -40, long. angle 45																																		
0.8634	! IAM for transv. angle -40, long. angle 60																																		
0.4317	! IAM for transv. angle -40, long. angle 75																																		
0	! IAM for transv. angle -40, long. angle 90																																		
0	! IAM for transv. angle -35, long. angle -90																																		
0.4208	! IAM for transv. angle -35, long. angle -75																																		
0.8417	! IAM for transv. angle -35, long. angle -60																																		
0.9728	! IAM for transv. angle -35, long. angle -45																																		
0.9043	! IAM for transv. angle -35, long. angle -30																																		
0.9276	! IAM for transv. angle -35, long. angle -15																																		
1.0006	! IAM for transv. angle -35, long. angle 0																																		
0.9276	! IAM for transv. angle -35, long. angle 15																																		
0.9043	! IAM for transv. angle -35, long. angle 30																																		
0.9728	! IAM for transv. angle -35, long. angle 45																																		
0.8417	! IAM for transv. angle -35, long. angle 60																																		
0.4208	! IAM for transv. angle -35, long. angle 75																																		
0	! IAM for transv. angle -35, long. angle 90																																		
0	! IAM for transv. angle -30, long. angle -90																																		
0.4125	! IAM for transv. angle -30, long. angle -75																																		
0.8249	! IAM for transv. angle -30, long. angle -60																																		
