!	35	13																																	
-85	-80	-75	-70	-65	-60	-55	-50	-45	-40	-35	-30	-25	-20	-15	-10	-5	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	!Transversal Angle
-90	-75	-60	-45	-30	-15	0	15	30	45	60	75	90	!Longitudinal Angle																						
0	! IAM for transv. angle -85, long. angle -90																																		
1.706	! IAM for transv. angle -85, long. angle -75																																		
3.412	! IAM for transv. angle -85, long. angle -60																																		
3.7122	! IAM for transv. angle -85, long. angle -45																																		
3.9908	! IAM for transv. angle -85, long. angle -30																																		
3.9318	! IAM for transv. angle -85, long. angle -15																																		
4.0946	! IAM for transv. angle -85, long. angle 0																																		
3.9318	! IAM for transv. angle -85, long. angle 15																																		
3.9908	! IAM for transv. angle -85, long. angle 30																																		
3.7122	! IAM for transv. angle -85, long. angle 45																																		
3.412	! IAM for transv. angle -85, long. angle 60																																		
1.706	! IAM for transv. angle -85, long. angle 75																																		
0	! IAM for transv. angle -85, long. angle 90																																		
0	! IAM for transv. angle -80, long. angle -90																																		
1.1439	! IAM for transv. angle -80, long. angle -75																																		
2.2878	! IAM for transv. angle -80, long. angle -60																																		
2.4891	! IAM for transv. angle -80, long. angle -45																																		
2.6759	! IAM for transv. angle -80, long. angle -30																																		
2.6363	! IAM for transv. angle -80, long. angle -15																																		
2.7455	! IAM for transv. angle -80, long. angle 0																																		
2.6363	! IAM for transv. angle -80, long. angle 15																																		
2.6759	! IAM for transv. angle -80, long. angle 30																																		
2.4891	! IAM for transv. angle -80, long. angle 45																																		
2.2878	! IAM for transv. angle -80, long. angle 60																																		
1.1439	! IAM for transv. angle -80, long. angle 75																																		
0	! IAM for transv. angle -80, long. angle 90																																		
0	! IAM for transv. angle -75, long. angle -90																																		
0.9278	! IAM for transv. angle -75, long. angle -75																																		
1.8556	! IAM for transv. angle -75, long. angle -60																																		
2.0189	! IAM for transv. angle -75, long. angle -45																																		
2.1705	! IAM for transv. angle -75, long. angle -30																																		
2.1383	! IAM for transv. angle -75, long. angle -15																																		
2.2269	! IAM for transv. angle -75, long. angle 0																																		
2.1383	! IAM for transv. angle -75, long. angle 15																																		
2.1705	! IAM for transv. angle -75, long. angle 30																																		
2.0189	! IAM for transv. angle -75, long. angle 45																																		
1.8556	! IAM for transv. angle -75, long. angle 60																																		
0.9278	! IAM for transv. angle -75, long. angle 75																																		
0	! IAM for transv. angle -75, long. angle 90																																		
0	! IAM for transv. angle -70, long. angle -90																																		
0.9019	! IAM for transv. angle -70, long. angle -75																																		
1.8038	! IAM for transv. angle -70, long. angle -60																																		
1.9625	! IAM for transv. angle -70, long. angle -45																																		
2.1099	! IAM for transv. angle -70, long. angle -30																																		
2.0786	! IAM for transv. angle -70, long. angle -15																																		
2.1647	! IAM for transv. angle -70, long. angle 0																																		
2.0786	! IAM for transv. angle -70, long. angle 15																																		
2.1099	! IAM for transv. angle -70, long. angle 30																																		
1.9625	! IAM for transv. angle -70, long. angle 45																																		
1.8038	! IAM for transv. angle -70, long. angle 60																																		
0.9019	! IAM for transv. angle -70, long. angle 75																																		
0	! IAM for transv. angle -70, long. angle 90																																		
0	! IAM for transv. angle -65, long. angle -90																																		
0.7701	! IAM for transv. angle -65, long. angle -75																																		
1.5403	! IAM for transv. angle -65, long. angle -60																																		
1.6758	! IAM for transv. angle -65, long. angle -45																																		
1.8016	! IAM for transv. angle -65, long. angle -30																																		
1.7749	! IAM for transv. angle -65, long. angle -15																																		
1.8484	! IAM for transv. angle -65, long. angle 0																																		
1.7749	! IAM for transv. angle -65, long. angle 15																																		
1.8016	! IAM for transv. angle -65, long. angle 30																																		
1.6758	! IAM for transv. angle -65, long. angle 45																																		
1.5403	! IAM for transv. angle -65, long. angle 60																																		
0.7701	! IAM for transv. angle -65, long. angle 75																																		
0	! IAM for transv. angle -65, long. angle 90																																		
0	! IAM for transv. angle -60, long. angle -90																																		
0.6684	! IAM for transv. angle -60, long. angle -75																																		
1.3368	! IAM for transv. angle -60, long. angle -60																																		
1.4544	! IAM for transv. angle -60, long. angle -45																																		
1.5636	! IAM for transv. angle -60, long. angle -30																																		
1.5405	! IAM for transv. angle -60, long. angle -15																																		
1.6043	! IAM for transv. angle -60, long. angle 0																																		
1.5405	! IAM for transv. angle -60, long. angle 15																																		
1.5636	! IAM for transv. angle -60, long. angle 30																																		
1.4544	! IAM for transv. angle -60, long. angle 45																																		
1.3368	! IAM for transv. angle -60, long. angle 60																																		
0.6684	! IAM for transv. angle -60, long. angle 75																																		
0	! IAM for transv. angle -60, long. angle 90																																		
0	! IAM for transv. angle -55, long. angle -90																																		
0.6036	! IAM for transv. angle -55, long. angle -75																																		
1.2071	! IAM for transv. angle -55, long. angle -60																																		
1.3133	! IAM for transv. angle -55, long. angle -45																																		
1.4119	! IAM for transv. angle -55, long. angle -30																																		
1.391	! IAM for transv. angle -55, long. angle -15																																		
1.4486	! IAM for transv. angle -55, long. angle 0																																		
1.391	! IAM for transv. angle -55, long. angle 15																																		
1.4119	! IAM for transv. angle -55, long. angle 30																																		
1.3133	! IAM for transv. angle -55, long. angle 45																																		
1.2071	! IAM for transv. angle -55, long. angle 60																																		
0.6036	! IAM for transv. angle -55, long. angle 75																																		
0	! IAM for transv. angle -55, long. angle 90																																		
0	! IAM for transv. angle -50, long. angle -90																																		
0.5636	! IAM for transv. angle -50, long. angle -75																																		
1.1273	! IAM for transv. angle -50, long. angle -60																																		
1.2264	! IAM for transv. angle -50, long. angle -45																																		
1.3185	! IAM for transv. angle -50, long. angle -30																																		
1.299	! IAM for transv. angle -50, long. angle -15																																		
1.3528	! IAM for transv. angle -50, long. angle 0																																		
1.299	! IAM for transv. angle -50, long. angle 15																																		
1.3185	! IAM for transv. angle -50, long. angle 30																																		
1.2264	! IAM for transv. angle -50, long. angle 45																																		
1.1273	! IAM for transv. angle -50, long. angle 60																																		
0.5636	! IAM for transv. angle -50, long. angle 75																																		
0	! IAM for transv. angle -50, long. angle 90																																		
0	! IAM for transv. angle -45, long. angle -90																																		
0.5398	! IAM for transv. angle -45, long. angle -75																																		
1.0795	! IAM for transv. angle -45, long. angle -60																																		
1.1745	! IAM for transv. angle -45, long. angle -45																																		
1.2627	! IAM for transv. angle -45, long. angle -30																																		
1.244	! IAM for transv. angle -45, long. angle -15																																		
1.2955	! IAM for transv. angle -45, long. angle 0																																		
1.244	! IAM for transv. angle -45, long. angle 15																																		
1.2627	! IAM for transv. angle -45, long. angle 30																																		
1.1745	! IAM for transv. angle -45, long. angle 45																																		
1.0795	! IAM for transv. angle -45, long. angle 60																																		
0.5398	! IAM for transv. angle -45, long. angle 75																																		
0	! IAM for transv. angle -45, long. angle 90																																		
0	! IAM for transv. angle -40, long. angle -90																																		
0.5253	! IAM for transv. angle -40, long. angle -75																																		
1.0507	! IAM for transv. angle -40, long. angle -60																																		
1.1431	! IAM for transv. angle -40, long. angle -45																																		
1.2289	! IAM for transv. angle -40, long. angle -30																																		
1.2107	! IAM for transv. angle -40, long. angle -15																																		
1.2609	! IAM for transv. angle -40, long. angle 0																																		
1.2107	! IAM for transv. angle -40, long. angle 15																																		
1.2289	! IAM for transv. angle -40, long. angle 30																																		
1.1431	! IAM for transv. angle -40, long. angle 45																																		
1.0507	! IAM for transv. angle -40, long. angle 60																																		
0.5253	! IAM for transv. angle -40, long. angle 75																																		
0	! IAM for transv. angle -40, long. angle 90																																		
0	! IAM for transv. angle -35, long. angle -90																																		
0.5155	! IAM for transv. angle -35, long. angle -75																																		
1.0309	! IAM for transv. angle -35, long. angle -60																																		
1.1216	! IAM for transv. angle -35, long. angle -45																																		
1.2058	! IAM for transv. angle -35, long. angle -30																																		
1.188	! IAM for transv. angle -35, long. angle -15																																		
1.2372	! IAM for transv. angle -35, long. angle 0																																		
1.188	! IAM for transv. angle -35, long. angle 15																																		
1.2058	! IAM for transv. angle -35, long. angle 30																																		
1.1216	! IAM for transv. angle -35, long. angle 45																																		
1.0309	! IAM for transv. angle -35, long. angle 60																																		
0.5155	! IAM for transv. angle -35, long. angle 75																																		
0	! IAM for transv. angle -35, long. angle 90																																		
0	! IAM for transv. angle -30, long. angle -90																																		
0.5068	! IAM for transv. angle -30, long. angle -75																																		
1.0136	! IAM for transv. angle -30, long. angle -60																																		
1.1028	! IAM for transv. angle -30, long. angle -45																																		
